gids,downloaded
0021701218,0
0021700488,0
0021801083,0
0021201041,0
0021300915,0
0021400992,0
0021700193,0
0021700443,0
0021700062,0
0021200269,0
0021300842,0
0021200076,0
0021200788,0
0021800931,0
0021700630,0
0021400269,0
0021800464,0
0021401068,0
0021300761,0
0021800240,0
0021801078,0
0021800522,0
0021201219,0
0021700900,0
0021200113,0
0021700178,0
0021700382,0
0021300483,0
0021200651,0
0021400169,0
0021501005,0
0021801204,0
0021500755,0
0021700104,0
0021200929,0
0021800578,0
0021201021,0
0021500710,0
0021400739,0
0021200367,0
0021500137,0
0021700887,0
0021300561,0
0021300015,0
0021200323,0
0021200497,0
0021501084,0
0021400395,0
0021200452,0
0021800241,0
0021700530,0
0021800272,0
0021501163,0
0021800836,0
0021300557,0
0021400387,0
0021501097,0
0021500144,0
0021301037,0
0021700730,0
0021800074,0
0021400653,0
0021300578,0
0021300832,0
0021300050,0
0021300464,0
0021501196,0
0021200201,0
0021400383,0
0021500581,0
0021801139,0
0021201092,0
0021500074,0
0021400050,0
0021400390,0
0021400786,0
0021201031,0
0021201133,0
0021301118,0
0021800829,0
0021800020,0
0021200443,0
0021700623,0
0021701024,0
0021700185,0
0021400069,0
0021400179,0
0021400203,0
0021200183,0
0021500613,0
0021300949,0
0021200122,0
0021801222,0
0021500449,0
0021401140,0
0021700390,0
0021200926,0
0021700251,0
0021200977,0
0021700269,0
0021500855,0
0021400629,0
0021700256,0
0021801030,0
0021300443,0
0021800685,0
0021300851,0
0021700171,0
0021200477,0
0021500502,0
0021501149,0
0021400969,0
0021500306,0
0021800777,0
0021300853,0
0021801044,0
0021301011,0
0021400448,0
0021400369,0
0021800738,0
0021400213,0
0021500810,0
0021400776,0
0021500538,0
0021800122,0
0021400319,0
0021200382,0
0021200704,0
0021701215,0
0021700419,0
0021300296,0
0021301044,0
0021500115,0
0021700132,0
0021800532,0
0021801210,0
0021300001,0
0021300510,0
0021200884,0
0021700252,0
0021201094,0
0021700131,0
0021200021,0
0021800534,0
0021500297,0
0021500148,0
0021400446,0
0021800912,0
0021500661,0
0021700389,0
0021200037,0
0021200968,0
0021400528,0
0021801126,0
0021701120,0
0021401165,0
0021300781,0
0021800978,0
0021701033,0
0021300960,0
0021800710,0
0021200058,0
0021200147,0
0021500153,0
0021400780,0
0021300646,0
0021500457,0
0021300166,0
0021800427,0
0021200316,0
0021501124,0
0021500365,0
0021500658,0
0021500284,0
0021201079,0
0021700117,0
0021501174,0
0021700078,0
0021701064,0
0021200892,0
0021200936,0
0021201055,0
0021701017,0
0021700128,0
0021300943,0
0021300421,0
0021700971,0
0021501114,0
0021701202,0
0021500707,0
0021501180,0
0021800585,0
0021300709,0
0021700969,0
0021500246,0
0021200052,0
0021300922,0
0021500930,0
0021401074,0
0021300877,0
0021800303,0
0021300131,0
0021500863,0
0021401109,0
0021801045,0
0021800357,0
0021500478,0
0021500177,0
0021400957,0
0021701041,0
0021400077,0
0021500070,0
0021700467,0
0021401221,0
0021200974,0
0021501088,0
0021700573,0
0021801134,0
0021400784,0
0021500797,0
0021700798,0
0021400617,0
0021501009,0
0021500911,0
0021800535,0
0021500916,0
0021401027,0
0021300392,0
0021500908,0
0021401133,0
0021300554,0
0021300736,0
0021700331,0
0021200579,0
0021400888,0
0021200001,0
0021400966,0
0021701058,0
0021200109,0
0021400571,0
0021500566,0
0021200002,0
0021700720,0
0021400824,0
0021200924,0
0021800257,0
0021401210,0
0021500033,0
0021800835,0
0021301077,0
0021200097,0
0021801056,0
0021500894,0
0021200607,0
0021800612,0
0021401055,0
0021500058,0
0021200446,0
0021200495,0
0021300137,0
0021700845,0
0021800409,0
0021300174,0
0021300262,0
0021801070,0
0021400633,0
0021300297,0
0021501094,0
0021800651,0
0021300286,0
0021801024,0
0021500671,0
0021200701,0
0021800493,0
0021401051,0
0021501188,0
0021200496,0
0021300787,0
0021500361,0
0021301092,0
0021400687,0
0021401177,0
0021800994,0
0021300901,0
0021500480,0
0021401111,0
0021501093,0
0021200481,0
0021301039,0
0021400737,0
0021501062,0
0021200834,0
0021500044,0
0021300444,0
0021300002,0
0021300991,0
0021200015,0
0021700540,0
0021700434,0
0021500075,0
0021701005,0
0021701119,0
0021400224,0
0021201163,0
0021300044,0
0021301153,0
0021500716,0
0021201049,0
0021400385,0
0021700175,0
0021500629,0
0021200769,0
0021800838,0
0021200366,0
0021201222,0
0021500402,0
0021300683,0
0021400515,0
0021400183,0
0021700036,0
0021201141,0
0021200681,0
0021400290,0
0021801015,0
0021500278,0
0021700610,0
0021500655,0
0021200614,0
0021200039,0
0021300719,0
0021800311,0
0021301064,0
0021500512,0
0021200712,0
0021300076,0
0021701055,0
0021400141,0
0021200934,0
0021700121,0
0021800404,0
0021700100,0
0021700398,0
0021700566,0
0021200967,0
0021500630,0
0021700615,0
0021200893,0
0021500482,0
0021200376,0
0021300334,0
0021400717,0
0021400928,0
0021400744,0
0021500826,0
0021501200,0
0021400127,0
0021300721,0
0021400488,0
0021700026,0
0021500364,0
0021400416,0
0021700371,0
0021200422,0
0021800439,0
0021800983,0
0021801230,0
0021500717,0
0021701104,0
0021400473,0
0021200199,0
0021700777,0
0021200444,0
0021300331,0
0021501139,0
0021700397,0
0021501066,0
0021300514,0
