game_season,date_game,age,team_id,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,g,home_game,win,pts_per_36,trb_per_36,tov_per_12
60.0,2019-03-05,29-191,HOU,TOR,W (+12),1.0,36.8,12.0,30.0,0.4,3.0,9.0,0.33299999999999996,8.0,8.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,4.0,35.0,21.6,-10.0,1,0,1,34.2,1.0,0.3
61.0,2019-03-08,29-194,HOU,PHI,W (+16),1.0,32.2,11.0,22.0,0.5,3.0,11.0,0.273,6.0,7.0,0.857,0.0,10.0,10.0,7.0,2.0,0.0,5.0,3.0,31.0,23.3,15.0,1,1,1,34.7,11.2,1.9
62.0,2019-03-10,29-196,HOU,DAL,W (+1),1.0,33.9,7.0,25.0,0.28,3.0,15.0,0.2,3.0,3.0,1.0,1.0,4.0,5.0,4.0,0.0,1.0,5.0,5.0,20.0,3.7,4.0,1,0,1,21.2,5.3,1.8
63.0,2019-03-11,29-197,HOU,CHO,W (+12),1.0,35.0,7.0,21.0,0.33299999999999996,3.0,9.0,0.33299999999999996,11.0,12.0,0.917,1.0,5.0,6.0,10.0,3.0,0.0,4.0,3.0,28.0,22.7,11.0,1,1,1,28.8,6.2,1.4
64.0,2019-03-13,29-199,HOU,GSW,L (-2),1.0,37.4,10.0,23.0,0.435,2.0,12.0,0.16699999999999998,7.0,9.0,0.778,0.0,3.0,3.0,10.0,3.0,0.0,2.0,1.0,29.0,24.6,1.0,1,1,0,27.9,2.9,0.6
65.0,2019-03-15,29-201,HOU,PHO,W (+6),1.0,41.7,12.0,25.0,0.48,3.0,11.0,0.273,14.0,17.0,0.8240000000000001,0.0,9.0,9.0,11.0,6.0,3.0,6.0,3.0,41.0,38.4,3.0,1,1,1,35.4,7.8,1.7
66.0,2019-03-17,29-203,HOU,MIN,W (+15),1.0,31.8,8.0,24.0,0.33299999999999996,4.0,12.0,0.33299999999999996,0.0,0.0,,0.0,2.0,2.0,10.0,1.0,0.0,3.0,4.0,20.0,10.4,20.0,1,1,1,22.6,2.3,1.1
67.0,2019-03-19,29-205,HOU,ATL,W (+16),1.0,33.5,8.0,18.0,0.444,4.0,11.0,0.364,11.0,12.0,0.917,0.0,8.0,8.0,10.0,1.0,1.0,4.0,1.0,31.0,27.9,10.0,1,0,1,33.3,8.6,1.4
68.0,2019-03-20,29-206,HOU,MEM,L (-1),1.0,45.6,18.0,39.0,0.462,9.0,17.0,0.529,12.0,12.0,1.0,1.0,6.0,7.0,8.0,2.0,2.0,3.0,3.0,57.0,44.2,11.0,1,0,0,45.0,5.5,0.8
69.0,2019-03-22,29-208,HOU,SAS,W (+6),1.0,36.7,19.0,34.0,0.5589999999999999,9.0,13.0,0.6920000000000001,14.0,17.0,0.8240000000000001,2.0,5.0,7.0,1.0,3.0,0.0,3.0,3.0,61.0,46.0,18.0,1,1,1,59.8,6.9,1.0
70.0,2019-03-24,29-210,HOU,NOP,W (+23),1.0,28.9,10.0,19.0,0.526,6.0,12.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,6.0,1.0,28.0,17.7,14.0,1,0,1,34.9,3.7,2.5
71.0,2019-03-26,29-212,HOU,MIL,L (-14),1.0,37.9,9.0,26.0,0.34600000000000003,1.0,9.0,0.111,4.0,5.0,0.8,0.0,10.0,10.0,7.0,0.0,2.0,4.0,4.0,23.0,11.7,-14.0,1,0,0,21.8,9.5,1.3
72.0,2019-03-28,29-214,HOU,DEN,W (+27),1.0,32.3,10.0,22.0,0.455,5.0,11.0,0.455,13.0,14.0,0.929,2.0,4.0,6.0,6.0,1.0,1.0,4.0,2.0,38.0,29.9,14.0,1,1,1,42.4,6.7,1.5
73.0,2019-03-30,29-216,HOU,SAC,W (+11),1.0,37.8,13.0,31.0,0.419,7.0,23.0,0.304,17.0,18.0,0.9440000000000001,1.0,10.0,11.0,10.0,0.0,0.0,3.0,1.0,50.0,40.4,17.0,1,1,1,47.6,10.5,1.0
74.0,2019-04-02,29-219,HOU,SAC,W (+25),1.0,29.5,12.0,19.0,0.632,7.0,12.0,0.583,5.0,6.0,0.833,0.0,3.0,3.0,10.0,1.0,0.0,2.0,2.0,36.0,33.2,29.0,1,0,1,43.9,3.7,0.8
75.0,2019-04-03,29-220,HOU,LAC,W (+32),1.0,30.4,9.0,15.0,0.6,3.0,7.0,0.429,10.0,12.0,0.833,1.0,6.0,7.0,7.0,0.0,0.0,6.0,3.0,31.0,23.5,16.0,1,0,1,36.7,8.3,2.4
76.0,2019-04-05,29-222,HOU,NYK,W (+24),1.0,29.2,8.0,21.0,0.381,5.0,13.0,0.385,5.0,5.0,1.0,1.0,8.0,9.0,8.0,1.0,1.0,3.0,2.0,26.0,21.1,29.0,1,1,1,32.1,11.1,1.2
77.0,2019-04-07,29-224,HOU,PHO,W (+36),1.0,29.0,10.0,14.0,0.7140000000000001,5.0,6.0,0.833,5.0,7.0,0.7140000000000001,0.0,13.0,13.0,9.0,2.0,0.0,6.0,3.0,30.0,28.4,39.0,1,1,1,37.2,16.1,2.5
78.0,2019-04-09,29-226,HOU,OKC,L (-1),1.0,37.0,11.0,28.0,0.39299999999999996,5.0,15.0,0.33299999999999996,12.0,13.0,0.9229999999999999,1.0,9.0,10.0,3.0,1.0,1.0,4.0,4.0,39.0,25.0,1.0,1,0,0,37.9,9.7,1.3
